"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","np0000056596",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","02 Mar 2026 11:23:21 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
02-03 11:23:21,,1025368,1469588,164172,5157824,,,,,,,1.380,1.090,0.690,7,0,,,,10,4,0,17,2
02-03 11:23:22,26.445,20.457,50.894,0.748,0,1019296,1475276,164188,5158108,23507.158,9550.157,0,1173.562,0,30.936,5724,4404,1.380,1.090,0.690,2,0,245.490,0,0,10,4,0,15,2
02-03 11:23:23,24.487,21.489,52.722,0.500,0,1027660,1450116,164316,5174236,181800.611,10256.618,0,1419.255,0,35.981,5059,2921,1.380,1.090,0.690,2,0,214.887,0,0,10,4,0,15,2
02-03 11:23:24,32.459,20.973,44.194,0.749,0,1032184,1430864,165104,5185844,8607.109,1456.157,0,1502.099,0,66.915,5059,2984,1.380,1.090,0.690,2,0,200.746,0,0,10,4,0,15,2
02-03 11:23:25,35.104,22.065,41.372,0.501,0,1038700,1406760,165544,5201608,12903.190,1462.328,0,1396.132,0,34.101,5682,5171,1.380,1.090,0.690,3,0,208.617,0,0,10,4,0,15,2
02-03 11:23:26,35.466,16.984,44.957,0.999,0,1049732,1372232,166228,5221824,10231.156,1564.495,0,2885.224,0,151.854,4581,2979,1.430,1.110,0.700,3,0,121.883,0,0,10,4,0,11,2
02-03 11:23:27,41.476,19.988,37.478,0.999,0,1035220,1363616,167244,5241704,12041.976,1511.119,0,2606.480,0,98.942,5351,5484,1.430,1.110,0.700,10,0,163.904,0,0,10,4,0,11,2
02-03 11:23:28,34.266,10.505,53.525,0.750,0,1167320,1209640,168208,5384420,10224.699,1700.782,0,2144.986,0,72.033,4057,3577,1.430,1.110,0.700,1,0,27.012,0,0,11,4,1,11,2
02-03 11:23:29,26.447,10.230,61.877,0.499,0,1175212,1218960,168220,5367580,19639.875,4001.029,15.968,1528.954,0.998,67.865,3291,1954,1.430,1.110,0.700,2,0,77.845,0,0,11,4,0,11,0
02-03 11:23:30,41.113,8.523,49.636,0,0,1206704,1187420,168248,5367596,9701.614,1956.367,0,32.088,0,8.022,3441,1869,1.430,1.110,0.700,2,0,73.201,0,0,11,5,0,11,0
02-03 11:23:31,31.377,16.436,50.303,0,0,1203576,1184848,168380,5372656,15443.657,3302.098,0,2227.297,0,126.506,4808,3007,1.470,1.120,0.710,2,0,163.362,0,0,11,4,0,13,0
02-03 11:23:32,38.364,7.021,53.660,1.003,0,1236940,1149952,168428,5373872,13971.625,3571.641,345.028,3775.247,15.045,33.099,3100,1839,1.470,1.120,0.710,1,0,26.078,0,0,11,5,0,13,0
02-03 11:23:33,44.526,7.004,46.277,0.500,0.250,1281024,1097528,168948,5380136,15371.849,2537.461,248.143,1704.982,8.005,18.010,11330,18702,1.470,1.120,0.710,3,0,6.003,0,0,11,4,0,13,0
02-03 11:23:34,37.859,8.717,44.832,6.476,0,1259904,1114276,169472,5383620,10265.642,1560.170,15.940,15478.164,0.996,923.549,8204,12590,1.470,1.120,0.710,3,0,18.929,0,0,11,6,0,13,0
02-03 11:23:35,34.371,12.042,36.880,12.042,0,1258456,1111488,170292,5386924,12006.290,1517.345,0,26392.965,0,2096.384,18415,34221,1.470,1.120,0.710,3,0,42.148,0,0,11,6,0,13,0
02-03 11:23:36,31.947,12.230,38.187,14.227,0,1201700,1177076,170852,5378880,11998.196,1455.597,0,35936.682,0,2428.991,12008,20456,1.760,1.190,0.730,2,1,25.957,0,0,11,6,0,13,0
