"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","19 Jan 2026 12:43:04 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
19-01 12:43:04,,1001852,1703156,162492,4954008,,,,,,,1.540,0.910,0.500,2,0,,,,10,6,0,17,0
19-01 12:43:05,20.971,20.222,56.422,0.499,0,1023420,1681104,162524,4954360,23618.337,11773.717,0,2440.625,0,91.873,6732,5628,1.540,0.910,0.500,3,0,512.292,0,0,10,4,0,17,2
19-01 12:43:06,25.482,19.487,54.712,0.500,0,1022644,1664272,162588,4971352,198731.536,13573.611,0,2434.316,0,83.942,7005,6955,1.540,0.910,0.500,3,0,354.755,0,0,10,4,0,17,2
19-01 12:43:07,38.102,17.797,42.363,0.501,0,1033172,1635648,163480,4985248,7239.286,1624.327,0,1868.979,0,65.174,6898,7054,1.570,0.930,0.510,2,0,248.662,0,0,10,4,0,17,2
19-01 12:43:08,35.034,10.187,53.918,0.497,0,1162484,1487840,163952,5126040,8828.683,1449.085,15.902,4889.915,0.994,43.731,4708,3870,1.570,0.930,0.510,4,0,105.352,0,0,11,6,0,17,2
19-01 12:43:09,39.806,11.516,48.068,0.751,0,1176940,1451956,164404,5145440,8503.984,1622.286,0,1778.506,0,70.099,4867,3416,1.570,0.930,0.510,3,0,195.275,0,0,11,6,0,19,2
19-01 12:43:10,42.965,6.245,48.711,1.249,0,1234216,1378328,165424,5158192,7716.780,1618.695,31.974,4608.285,1.998,129.895,3471,2165,1.570,0.930,0.510,3,0,0,0,0,11,6,0,19,2
19-01 12:43:11,45.601,4.259,48.858,1.002,0,1266256,1316796,166348,5183944,9212.386,1665.686,0,2625.811,0,77.171,3372,1990,1.570,0.930,0.510,3,0,0,0,0,11,8,0,19,2
19-01 12:43:12,28.540,7.260,49.569,13.519,0,1275920,1290180,168080,5197616,14065.559,3693.135,0,48916.020,0,3894.415,18988,28753,1.770,0.980,0.530,3,1,55.077,0,0,11,8,0,19,3
19-01 12:43:13,39.637,9.722,43.376,4.737,0,1188324,1394504,168380,5181008,9770.169,2267.541,0,41290.381,0,2751.163,13535,17705,1.770,0.980,0.530,3,0,120.656,0,0,11,4,0,19,0
19-01 12:43:14,40.241,5.249,53.738,0.250,0,1250284,1326516,168472,5186444,14428.739,3790.143,0,2279.485,0,42.990,2951,1659,1.770,0.980,0.530,3,0,15.996,0,0,11,4,0,19,1
19-01 12:43:15,45.455,5.274,48.217,0.753,0,1237200,1338180,168596,5187540,11251.658,2231.045,0,7654.463,0,384.732,4049,3235,1.770,0.980,0.530,3,0,29.131,0,0,11,5,0,19,0
19-01 12:43:16,40.074,5.974,52.271,0.249,0,1249724,1317812,169108,5193512,13572.531,4052.245,0,1150.957,0,32.856,6199,8825,1.770,0.980,0.530,3,0,6.969,0,0,11,4,0,19,0
19-01 12:43:17,46.127,7.019,45.625,0.251,0,1264616,1302220,169164,5193988,5398.817,1624.458,0,1696.657,0,8.022,11200,19145,1.950,1.030,0.550,5,0,13.036,0,0,11,4,0,19,0
19-01 12:43:18,28.028,26.777,44.545,0.501,0,1157228,1419400,169220,5185008,5714.777,1621.639,0,2918.951,0,200.202,10998,13709,1.950,1.030,0.550,3,0,546.552,0,0,11,4,0,19,0
19-01 12:43:19,39.050,18.273,41.803,0,0,1091400,1489564,169228,5181724,8902.341,1622.066,0,36.046,0,7.009,6319,7771,1.950,1.030,0.550,3,0,338.431,0,0,11,4,0,19,0
19-01 12:43:20,51.608,11.967,35.901,0,0,1182388,1398532,169232,5181852,7034.674,1615.562,0,3.989,0,0.997,4271,3742,1.950,1.030,0.550,3,0,180.504,0,0,11,5,0,19,0
19-01 12:43:21,46.997,3.500,48.746,0,0,1237108,1343364,169240,5182292,8892.349,1619.881,0,467.966,0,38.997,2819,1216,1.950,1.030,0.550,3,0,0,0,0,11,5,0,19,0
19-01 12:43:22,42.998,8.500,47.998,0,0,1258500,1320232,169276,5183984,8623.582,1619.921,0,1003.951,0,74.996,3072,3175,2.190,1.100,0.570,4,0,0,0,0,11,5,0,19,0
19-01 12:43:23,10.753,8.002,80.020,0,0,1251000,1326908,169312,5184708,9169.246,1620.397,0,16251.981,0,107.026,3208,3201,2.190,1.100,0.570,2,0,124.030,0,0,11,4,0,19,0
19-01 12:43:24,12.754,3.251,83.024,0,0,1296608,1281296,169320,5184708,8476.410,1458.415,0,432.123,0,4.001,1596,1410,2.190,1.100,0.570,1,0,22.006,0,0,11,4,0,19,0
19-01 12:43:25,23.139,2.737,73.398,0,0,1343728,1234172,169320,5184712,6643.113,1612.261,0,0,0,0,1774,1251,2.190,1.100,0.570,2,0,0,0,0,11,4,0,17,0
19-01 12:43:26,23.142,2.264,72.946,1.006,0,1365536,1212024,169424,5184948,9128.868,1629.975,0,1283.857,0,173.059,3248,3881,2.190,1.100,0.570,2,0,2.012,0,0,11,10,0,17,0
19-01 12:43:27,20.880,4.971,72.582,0.746,0,1337448,1240016,169476,5184992,9968.541,1610.716,11.931,3169.729,2.983,179.963,3104,2776,2.100,1.100,0.570,1,1,41.759,0,0,11,4,0,19,0
19-01 12:43:28,19.608,3.519,75.917,0.503,0,1362940,1213968,169740,5185244,42974.787,3964.753,361.986,29642.639,17.094,98.541,2111,1415,2.100,1.100,0.570,1,0,0,0,0,11,5,0,19,0
19-01 12:43:29,16.916,2.488,74.132,4.975,0,1360624,1215936,169788,5185476,46325.228,4298.679,266.677,1938.386,65.674,35.822,2646,2615,2.100,1.100,0.570,2,0,0.995,0,0,11,25,1,16,0
19-01 12:43:30,20.739,5.247,74.209,0,0,1365588,1210828,169788,5185620,11297.750,4864.309,0,0,0,0,2409,1810,2.100,1.100,0.570,3,0,44.975,0,0,11,28,0,16,0
19-01 12:43:31,19.021,2.002,78.588,0,0,1368664,1207744,169788,5185624,12996.472,5753.407,0,0,0,0,1722,1175,2.100,1.100,0.570,2,0,0,0,0,11,29,0,16,0
19-01 12:43:32,25.703,11.479,62.135,0,0,1409716,1166664,169792,5185648,10909.864,4454.778,0,1038.084,0,9.982,3629,2748,2.090,1.110,0.580,3,0,155.713,0,0,11,28,0,17,0
19-01 12:43:33,36.933,5.025,58.288,0,0,1495744,1080624,169792,5185660,13794.217,9267.833,0,7903.084,0,135.671,3209,2286,2.090,1.110,0.580,3,0,0,0,0,11,30,0,17,0
19-01 12:43:34,36.566,5.009,57.104,0.250,0,1393576,1182556,169816,5185868,21784.590,12409.552,0,308.561,0,21.038,5515,7290,2.090,1.110,0.580,3,0,55.100,0,0,11,28,0,18,0
19-01 12:43:35,66.249,28.249,5.000,0,0,1524896,1051188,169824,5185904,7784.849,1619.969,0,511.990,0,22.000,5812,4889,2.090,1.110,0.580,7,0,522.990,0,0,11,28,0,18,0
19-01 12:43:36,85.460,10.495,3.998,0,0.250,1722900,853156,169824,5185928,20427.465,17116.011,0,0,0,0,5200,3657,2.090,1.110,0.580,6,0,1.000,0,0,11,32,0,18,0
19-01 12:43:37,80.221,9.996,8.997,0,0,1668996,906768,169840,5186884,37115.484,29095.405,0,759.723,0,60.978,9151,15146,2.320,1.180,0.600,7,0,113.959,0,0,11,31,0,21,0
