"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","np0000094189",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","31 May 2026 07:58:45 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
31-05 07:58:45,,1031056,1611988,163348,5015960,,,,,,,1.560,1.160,0.720,1,0,,,,10,4,0,17,2
31-05 07:58:46,26.144,21.164,49.549,0.498,0,1034776,1591216,163408,5032284,180525.315,10644.797,0,1533.775,0,38.842,5903,4606,1.590,1.170,0.720,2,0,237.038,0,0,10,4,0,17,2
31-05 07:58:47,30.503,21.752,45.505,0.500,0,1034008,1577904,164184,5043524,9269.962,1512.157,0,2684.279,0,164.017,5267,3157,1.590,1.170,0.720,2,0,217.023,0,0,10,4,0,17,2
31-05 07:58:48,32.279,23.271,44.290,0.250,0,1048688,1544656,164660,5059500,9583.657,1621.465,0,1473.331,0,36.033,5150,2871,1.590,1.170,0.720,2,0,202.183,0,0,10,4,0,13,2
31-05 07:58:49,33.808,23.290,41.321,1.002,0,1028916,1541552,165304,5080112,5136.837,1568.699,0,2512.322,0,94.162,5657,4608,1.590,1.170,0.720,3,0,203.350,0,0,10,4,0,13,2
31-05 07:58:50,36.250,17.250,45.250,1.000,0,1019132,1520432,166444,5106440,9000.925,1511.987,0,2867.976,0,103.999,4483,2836,1.590,1.170,0.720,2,0,114.999,0,0,10,4,0,13,2
31-05 07:58:51,39.144,17.838,40.383,0.743,0,1030528,1512076,167284,5101056,7325.442,2027.578,0,2362.534,0,74.325,5027,4681,1.630,1.190,0.730,5,0,150.631,0,0,10,2,0,13,0
31-05 07:58:52,39.155,19.199,42.187,0,0,1056372,1486180,167304,5100748,9678.170,1527.813,0,20.209,0,2.021,5695,5552,1.630,1.190,0.730,4,0,175.820,0,0,10,2,0,11,0
31-05 07:58:53,35.939,14.475,45.922,1.997,0,1085688,1454716,167324,5102884,13713.771,4553.287,1010.289,1078.174,37.936,11.980,5483,5305,1.630,1.190,0.730,2,0,101.828,0,0,10,3,0,11,0
