"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","np0000056538",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","26 Feb 2026 20:56:12 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
26-02 20:56:12,,1006588,1500760,162948,5147780,,,,,,,2.530,1.670,0.930,2,0,,,,10,4,0,17,2
26-02 20:56:13,24.104,20.874,52.433,0.497,0,1009780,1480916,162964,5163848,182415.777,10940.891,0,1614.246,0,39.760,5539,3870,2.530,1.670,0.930,2,0,236.571,0,0,10,4,0,15,2
26-02 20:56:14,30.384,22.097,45.952,0.502,0,1025884,1451348,163620,5174496,8486.348,1627.161,0,1482.525,0,64.283,5173,2979,2.530,1.670,0.930,2,0,210.928,0,0,10,4,0,15,2
26-02 20:56:15,32.958,20.724,44.443,0.499,0,1042572,1417244,164096,5189612,8279.422,1456.140,0,1414.193,0,33.957,5009,2800,2.490,1.670,0.930,2,0,192.754,0,0,10,4,0,15,2
26-02 20:56:16,34.041,20.275,43.553,0.250,0,1053140,1390972,164284,5204372,10123.251,1459.767,0,1097.328,0,75.091,5167,3712,2.490,1.670,0.930,3,0,181.219,0,0,10,4,0,15,2
26-02 20:56:17,36.418,18.957,42.903,1.247,0,1067276,1363000,165052,5215172,11293.547,1454.721,0,2701.911,0,115.739,4612,3611,2.490,1.670,0.930,3,0,141.681,0,0,10,4,0,11,2
26-02 20:56:18,40.041,18.269,40.292,0.751,0,1077548,1326612,165964,5238628,7298.527,1459.505,0,11299.653,0,468.483,5924,5646,2.490,1.670,0.930,6,0,150.155,0,0,10,4,0,11,2
26-02 20:56:19,36.706,15.731,45.696,0.250,0.250,1204392,1185680,166788,5374160,10047.029,1882.757,0,2353.196,0,71.914,5520,5191,2.490,1.670,0.930,1,0,103.876,0,0,11,7,0,11,2
26-02 20:56:20,38.549,9.262,51.315,0.250,0,1164500,1242944,166792,5357356,13052.637,3762.796,16.020,292.373,1.001,16.020,3243,1841,2.450,1.680,0.940,3,0,55.070,0,0,11,4,0,11,0
26-02 20:56:21,38.854,15.792,44.118,0.251,0,1212480,1194056,166828,5358056,15332.026,3740.008,0,513.374,0,7.019,4819,12110,2.450,1.680,0.940,2,0,157.421,0,0,11,5,0,11,0
26-02 20:56:22,38.437,12.230,47.422,0.998,0,1208100,1192668,166956,5363028,25405.172,1671.248,207.658,1828.989,8.985,39.934,4129,2709,2.450,1.680,0.940,2,0,85.859,0,0,11,4,0,13,0
26-02 20:56:23,37.066,5.510,53.595,2.504,0,1230856,1167720,166984,5364964,36088.064,3715.596,272.484,12846.806,9.016,60.107,2696,1484,2.450,1.680,0.940,2,0,16.028,0,0,11,5,0,13,0
26-02 20:56:24,44.742,8.498,45.492,0.250,0,1255468,1135816,167536,5370136,11838.869,1523.726,127.977,2067.628,5.999,22.996,12918,21947,2.450,1.680,0.940,2,0,12.998,0,0,11,4,0,13,0
26-02 20:56:25,35.027,10.185,39.747,9.937,0,1259636,1125736,168440,5374888,8557.514,1502.434,0,24515.908,0,1791.593,17433,31046,2.410,1.680,0.940,5,1,26.829,0,0,11,6,0,13,0
26-02 20:56:26,31.806,11.520,40.321,12.522,0,1257392,1124224,169088,5377844,7714.496,1460.555,0,27892.797,0,2075.631,10619,18549,2.410,1.680,0.940,2,1,44.077,0,0,11,6,0,13,0
26-02 20:56:27,35.388,10.039,39.153,12.800,0,1223820,1168092,169488,5368592,9848.538,1572.152,0,25041.990,0,1915.495,9705,16284,2.410,1.680,0.940,1,1,28.110,0,0,11,6,0,13,0
26-02 20:56:28,39.414,12.473,39.913,5.738,0,1132172,1259292,169636,5368892,8558.386,1508.719,0,27619.928,0,1126.550,6987,9624,2.410,1.680,0.940,2,0,94.794,0,0,11,4,0,13,0
26-02 20:56:29,32.298,8.262,58.337,0,0.250,1167936,1223544,169636,5368892,10048.962,1460.174,0,741.103,0,26.039,3035,1718,2.410,1.680,0.940,1,0,65.097,0,0,11,4,0,12,0
26-02 20:56:30,22.735,3.748,71.204,1.249,0,1180008,1211448,169660,5368892,8561.427,1025.333,0,6847.542,0,365.762,2485,2667,2.300,1.670,0.940,1,0,0,0,0,11,4,0,12,0
26-02 20:56:31,24.254,2.000,73.262,0.250,0,1132368,1259076,169664,5368900,6053.955,1458.230,0,128.020,0,10.002,1890,1178,2.300,1.670,0.940,1,0,10.002,0,0,11,4,0,12,0
26-02 20:56:32,22.493,2.999,73.728,0,0,1157060,1234380,169664,5368904,10675.842,1511.553,0,7.998,0,1.000,1748,1251,2.300,1.670,0.940,1,0,0,0,0,11,4,0,12,0
26-02 20:56:33,23.755,3.751,72.016,0,0,1184016,1207416,169664,5368904,10179.328,1512.346,0,26806.131,0,116.027,2123,1366,2.300,1.670,0.940,1,0,0,0,0,11,4,0,11,0
26-02 20:56:34,19.499,6.750,72.497,0,0,1159040,1232372,169664,5368924,10234.584,1457.941,0,0,0,0,2790,1742,2.300,1.670,0.940,3,0,79.997,0,0,11,4,0,11,0
26-02 20:56:35,8.992,19.982,69.938,0,0,1149236,1242124,169664,5368976,8582.335,1456.699,0,3.996,0,0.999,4639,2822,2.270,1.680,0.950,1,0,199.822,0,0,11,4,0,11,0
26-02 20:56:36,10.738,19.228,68.171,0,0,1144004,1247336,169668,5368992,10408.931,1456.311,0,691.199,0,8.990,4649,2756,2.270,1.680,0.950,1,0,189.780,0,0,11,4,0,11,0
26-02 20:56:37,10.499,20.248,67.992,0,0,1141932,1249264,169668,5369136,8883.948,1511.821,0,19.998,0,4.999,4623,2827,2.270,1.680,0.950,1,0,190.977,0,0,11,4,0,11,0
26-02 20:56:38,18.013,16.262,63.547,0,0,1117972,1273212,169668,5369140,8679.367,1459.070,0,588.432,0,40.029,4779,4980,2.270,1.680,0.950,1,0,127.093,0,0,11,4,0,11,0
26-02 20:56:39,23.424,14.702,57.314,2.741,0,1091416,1292156,169668,5377192,6056.299,1345.623,7679.021,5581.843,78.744,37.877,4381,4736,2.270,1.680,0.950,3,0,103.663,0,0,11,4,0,11,0
26-02 20:56:40,48.670,12.795,37.882,0,0,1187472,1195968,169668,5377328,10159.481,1137.974,0,0,0,0,3825,1964,2.490,1.730,0.970,2,0,83.291,0,0,11,5,0,11,0
26-02 20:56:41,46.983,2.999,48.732,0.250,0,1235288,1147080,169688,5378368,6459.621,1565.424,511.812,319.882,8.997,22.992,2760,1211,2.490,1.730,0.970,2,0,0,0,0,11,5,0,11,0
26-02 20:56:42,45.730,8.246,45.730,0,0,1262616,1117736,169700,5380372,10248.460,1457.354,0,475.789,0,42.981,3331,3104,2.490,1.730,0.970,3,0,0,0,0,11,5,0,11,0
26-02 20:56:43,9.503,12.004,77.273,0,0,1265832,1114140,169700,5380688,10355.042,1512.444,0,0,0,0,3306,2774,2.490,1.730,0.970,1,0,118.035,0,0,11,4,0,12,0
26-02 20:56:44,18.255,4.751,76.021,0,0,1319216,1060760,169704,5380688,10597.952,1566.436,0,1428.398,0,6.002,2042,1608,2.490,1.730,0.970,1,0,22.006,0,0,11,4,0,12,0
26-02 20:56:45,23.003,2.750,73.760,0,0,1360040,1019936,169704,5380688,11554.604,1458.202,0,0,0,0,1828,1315,2.370,1.720,0.970,1,0,0,0,0,11,4,0,12,0
26-02 20:56:46,23.480,2.498,72.187,0.749,0,1379604,1000140,169708,5380916,9519.697,1456.729,0,827.278,0,89.922,2743,2931,2.370,1.720,0.970,1,0,0.999,0,0,11,10,0,12,0
26-02 20:56:47,20.431,5.731,69.516,1.744,0,1275016,1104672,169744,5380936,7017.353,1279.688,0,3292.904,0,271.086,3857,4671,2.370,1.720,0.970,2,0,42.856,0,0,11,4,0,14,0
26-02 20:56:48,21.619,3.771,73.404,0.754,0,1327196,1052256,169880,5381000,9933.664,1073.910,370.036,438.413,13.072,11.061,1879,1328,2.370,1.720,0.970,1,0,0,0,0,11,4,0,14,0
26-02 20:56:49,14.503,5.001,75.017,5.251,0,1344604,1034448,169880,5381356,12352.874,3363.783,4.001,84403.640,1.000,585.136,2332,1678,2.370,1.720,0.970,2,0,0,0,0,11,9,0,14,0
26-02 20:56:50,20.742,2.249,73.221,2.749,0,1347484,1031424,169928,5381476,11924.249,2936.830,135.946,2407.041,32.987,33.986,2397,2329,2.260,1.710,0.970,0,1,1.000,0,0,11,17,0,14,0
