"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","np0000094041",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","21 Apr 2026 13:02:54 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
21-04 13:02:54,,985724,1692640,161240,4985268,,,,,,,1.360,1.040,0.660,1,0,,,,10,6,0,17,0
21-04 13:02:55,26.409,19.932,51.324,0.249,0,1014092,1663928,161332,4985468,23985.601,8654.269,0,1072.316,0,30.894,5168,3207,1.360,1.040,0.660,3,0,243.165,0,0,10,5,0,17,1
21-04 13:02:56,23.976,21.478,53.196,0.999,0,1027080,1650588,161444,4985652,39619.551,9963.828,0,1370.601,0,47.951,5082,3535,1.360,1.040,0.660,2,0,211.784,0,0,10,4,0,15,2
21-04 13:02:57,27.072,21.808,49.882,0.251,0,1039120,1638104,161532,4985908,16238.936,8764.172,0,2326.150,0,183.485,4954,2826,1.360,1.040,0.660,1,0,200.530,0,0,10,4,0,15,2
21-04 13:02:58,26.750,21.054,49.538,0.495,0,1025232,1635064,161664,5002452,182545.677,10030.407,0,1628.802,0,42.602,5282,4003,1.360,1.040,0.660,5,0,182.299,0,0,10,4,0,15,2
21-04 13:02:59,37.558,18.149,43.104,1.008,0,1028728,1619392,162444,5011548,10467.900,1470.063,0,1560.808,0,62.513,4567,2662,1.410,1.060,0.670,3,0,135.109,0,0,10,4,0,15,2
21-04 13:03:00,40.011,17.255,41.511,0.250,0,1041376,1588108,162964,5027596,12419.380,1566.426,0,1368.372,0,33.009,5038,3772,1.410,1.060,0.670,3,0,128.035,0,0,10,4,0,11,2
21-04 13:03:01,41.501,16.250,41.001,0.500,0,1038716,1569444,163448,5046652,10290.260,1620.041,0,1720.044,0,58.001,5769,6052,1.410,1.060,0.670,3,0,153.004,0,0,10,4,0,11,2
21-04 13:03:02,38.261,15.754,41.511,2.751,0,1048580,1542224,164404,5060536,12046.308,1458.400,796.219,3300.906,23.006,122.034,5624,5604,1.410,1.060,0.670,2,0,112.031,0,0,10,4,0,11,2
21-04 13:03:03,32.532,13.013,52.552,1.251,0,1041708,1519428,165512,5086216,10847.747,1621.607,216.214,12148.035,15.015,85.084,3155,1729,1.410,1.060,0.670,1,0,19.019,0,0,10,4,0,11,2
21-04 13:03:04,17.998,1.750,78.990,0.500,0,1032456,1543200,165676,5071292,11641.467,4412.419,0,811.893,0,28.996,1512,960,1.290,1.040,0.660,1,0,2.000,0,0,10,2,0,11,0
21-04 13:03:05,21.508,3.751,74.528,0,0,1040132,1535488,165704,5071300,8445.193,2588.979,0,0,0,0,1866,986,1.290,1.040,0.660,0,0,33.012,0,0,10,3,0,11,0
21-04 13:03:06,19.005,2.751,76.519,0,0,1058520,1510596,165956,5076864,52684.197,2894.725,0,9670.422,0,45.011,1811,1049,1.290,1.040,0.660,2,0,2.001,0,0,10,2,0,11,0
21-04 13:03:07,16.984,3.247,78.924,0.500,0,1054732,1514128,165976,5077036,53570.238,4568.586,0,2321.757,0,221.786,1815,989,1.290,1.040,0.660,1,0,17.983,0,0,10,3,0,11,0
21-04 13:03:08,23.216,4.493,70.146,0,0,1057204,1504676,166520,5082268,10809.948,1833.278,0,806.802,0,13.979,11967,21881,1.290,1.040,0.660,1,0,10.984,0,0,10,2,0,11,0
21-04 13:03:09,22.297,5.011,71.402,0,0,1045420,1515960,166576,5082572,10489.270,1623.447,0,84.179,0,1.002,5431,9214,1.270,1.040,0.670,1,0,8.017,0,0,10,2,0,11,0
21-04 13:03:10,20.965,5.740,72.379,0.250,0,1023612,1538268,166628,5081964,10528.360,1401.652,0,1409.638,0,53.910,4177,6192,1.270,1.040,0.670,1,0,14.975,0,0,10,2,0,11,0
21-04 13:03:11,17.520,5.256,76.336,0,0,973988,1600008,166628,5071308,13011.709,136878.733,0,31047.097,0,781.884,2165,1154,1.270,1.040,0.670,0,0,5.006,0,0,10,2,0,11,0
21-04 13:03:12,0.250,0,98.757,0,0,964060,1609936,166628,5071308,6360.424,1512.101,0,4.000,0,1.000,461,548,1.270,1.040,0.670,0,0,0,0,0,10,2,0,10,0
21-04 13:03:13,0.250,0.500,99.252,0,0,953856,1620140,166628,5071308,5936.136,1566.036,0,8.000,0,1.000,452,583,1.270,1.040,0.670,0,0,0,0,0,10,2,0,10,0
21-04 13:03:14,0.750,0.250,98.731,0,0,944740,1629256,166628,5071308,10975.888,1511.709,0,0,0,0,527,592,1.170,1.020,0.660,0,0,0,0,0,10,2,0,10,0
21-04 13:03:15,0.250,0,99.015,0,0,936560,1637432,166628,5071312,8747.303,1620.241,0,2260.337,0,16.002,492,558,1.170,1.020,0.660,0,0,0,0,0,10,2,0,10,0
21-04 13:03:16,0.749,2.498,95.436,0,0,928968,1645032,166632,5071312,12219.816,1564.952,0,12443.666,0,64.956,937,873,1.170,1.020,0.660,0,0,6.995,0,0,10,2,0,9,0
21-04 13:03:17,0.500,0.500,99.042,0,0,919260,1654740,166632,5071312,10727.576,1512.645,0,0,0,0,476,550,1.170,1.020,0.660,0,0,0,0,0,10,2,0,9,0
21-04 13:03:18,0.749,0.250,98.663,0,0,914272,1659728,166632,5071312,14707.073,1618.577,0,7.993,0,1.998,539,568,1.170,1.020,0.660,0,0,0,0,0,10,2,0,9,0
21-04 13:03:19,0.250,0.250,98.860,0,0,910804,1663196,166632,5071312,10378.525,1567.741,0,4.004,0,1.001,512,572,1.080,1.010,0.660,0,0,0,0,0,10,2,0,9,0
21-04 13:03:20,0.250,0.250,98.998,0,0,907148,1666852,166632,5071312,9069.805,1511.967,0,0,0,0,487,549,1.080,1.010,0.660,0,0,0,0,0,10,2,0,9,0
21-04 13:03:21,0.250,1.500,96.501,0.750,0,902208,1671792,166632,5071312,10646.122,1620.019,0,19212.219,0,116.001,855,865,1.080,1.010,0.660,0,0,0,0,0,10,2,0,9,0
21-04 13:03:22,0.250,0,99.001,0,0,897892,1676108,166632,5071312,8424.072,1620.014,0,0,0,0,465,555,1.080,1.010,0.660,0,0,0,0,0,10,2,0,9,0
21-04 13:03:23,0.750,0.250,98.993,0,0,894172,1679828,166632,5071312,6504.509,1619.878,0,127.990,0,23.998,470,554,1.080,1.010,0.660,0,0,0,0,0,10,2,0,9,0
21-04 13:03:24,0.250,0.250,98.746,0,0,891132,1682868,166632,5071312,10684.571,1565.937,0,4.000,0,1.000,519,552,0.990,0.990,0.660,0,0,0,0,0,10,2,0,9,0
21-04 13:03:25,0.499,0.998,98.287,0,0,888440,1685556,166632,5071316,12267.471,1508.737,0,7.983,0,0.998,531,555,0.990,0.990,0.660,0,0,0,0,0,10,2,0,9,0
21-04 13:03:26,0.250,0.500,98.152,0.250,0,886108,1687880,166640,5071316,14644.399,1564.440,0,731.271,0,2.997,642,646,0.990,0.990,0.660,0,0,0.999,0,0,10,2,0,9,0
21-04 13:03:27,0.752,0.251,99.558,0,0,884072,1689916,166640,5071316,6171.106,1516.696,0,0,0,0,462,539,0.990,0.990,0.660,0,0,0,0,0,10,2,0,9,0
21-04 13:03:28,0,0.250,98.715,0,0,883044,1690944,166640,5071316,5633.984,1403.498,0,0,0,0,451,561,0.990,0.990,0.660,0,0,0,0,0,10,2,0,9,0
21-04 13:03:29,10.968,4.487,83.258,0,0,875132,1698856,166640,5071316,9890.303,1238.407,0,95.722,0,15.954,1986,5500,0.910,0.970,0.650,0,0,35.896,0,0,10,2,0,10,0
21-04 13:03:30,0.502,0.502,99.301,0,0,875132,1698856,166640,5071316,8808.745,1570.769,0,4.012,0,1.003,477,558,0.910,0.970,0.650,0,0,0,0,0,10,2,0,10,0
21-04 13:03:31,0.249,2.495,96.052,0,0,867744,1706456,166640,5071316,5797.080,1616.676,0,43015.549,0,198.592,1039,1039,0.910,0.970,0.650,1,0,0,0,0,10,2,0,10,0
21-04 13:03:32,0.750,0.250,98.296,0,0,867584,1706456,166640,5071476,10156.716,1458.677,0,0,0,0,575,598,0.910,0.970,0.650,1,0,0,0,0,10,2,0,10,0
21-04 13:03:33,0.251,0.501,98.956,0,0,867276,1706764,166640,5071476,8610.925,1623.379,0,0,0,0,471,571,0.910,0.970,0.650,0,0,0,0,0,10,2,0,9,0
21-04 13:03:34,0.500,0.250,98.727,0,0,867276,1706764,166640,5071476,11050.457,1619.627,0,87.980,0,14.997,531,593,0.840,0.950,0.650,0,0,0,0,0,10,2,0,9,0
21-04 13:03:35,0.250,0.250,98.751,0,0,867276,1706764,166640,5071476,8840.072,1662.014,0,0,0,0,464,544,0.840,0.950,0.650,0,0,0,0,0,10,2,0,9,0
21-04 13:03:36,0.500,2.750,95.763,0.250,0,867276,1706764,166640,5071476,41910.819,1458.202,0,42185.857,0,169.023,1073,1016,0.840,0.950,0.650,0,0,1.000,0,0,10,2,0,9,0
21-04 13:03:37,0.750,0.250,99.189,0,0,867276,1706764,166640,5071476,47566.912,1619.010,0,3.998,0,0.999,549,561,0.840,0.950,0.650,0,0,0,0,0,10,2,0,9,0
21-04 13:03:38,0.250,0.250,98.796,0,0,867276,1706764,166640,5071476,10677.000,1620.759,0,0,0,0,517,569,0.840,0.950,0.650,0,0,0,0,0,10,2,0,9,0
21-04 13:03:39,0.250,0.250,98.753,0,0,867276,1706764,166640,5071476,11936.360,1620.049,0,0,0,0,508,551,0.770,0.940,0.640,0,0,0,0,0,10,2,0,9,0
21-04 13:03:40,0.500,0.250,98.753,0,0,867500,1706540,166640,5071476,8449.270,1620.052,0,92.003,0,16.001,439,549,0.770,0.940,0.640,1,0,0,0,0,10,2,0,9,0
21-04 13:03:41,0.500,0.250,98.747,0,0,867496,1706540,166648,5071472,13745.547,1187.961,0,875.971,0,5.000,512,566,0.770,0.940,0.640,0,1,0,0,0,10,2,0,4,0
21-04 13:03:42,7.752,1.750,90.268,0,0,881564,1692464,166648,5071480,144462.341,3744.735,0,8.002,0,2.000,1184,843,0.770,0.940,0.640,0,0,4.001,0,0,10,2,0,4,0
21-04 13:03:43,16.005,3.751,79.025,0.250,0,894308,1679580,166672,5071596,289816.376,10339.260,16.005,8.003,1.000,1.000,2067,1315,0.770,0.940,0.640,1,0,23.007,0,0,10,2,0,4,0
21-04 13:03:44,12.258,4.253,82.555,0.250,0,895116,1678788,166676,5071592,299580.587,11335.552,92.061,4.003,4.003,1.001,2093,1372,0.790,0.940,0.650,1,0,20.013,0,0,10,2,0,4,0
