"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","np0000094477",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","25 Jun 2026 20:47:28 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
25-06 20:47:28,,1072236,1626672,162136,4962456,,,,,,,1.860,1.180,0.720,4,0,,,,10,5,0,17,1
25-06 20:47:29,26.696,20.209,51.396,0.249,0,1079684,1618836,162216,4962684,20740.926,8665.422,0,894.186,0,26.945,5283,3423,1.860,1.180,0.720,2,0,219.555,0,0,10,5,0,17,1
25-06 20:47:30,22.494,20.495,54.236,0.750,0,1078852,1619336,162356,4962916,42841.598,11437.956,0,7753.936,0,401.893,5180,2893,1.870,1.200,0.730,3,0,209.944,0,0,10,4,0,17,2
25-06 20:47:31,28.750,21.000,49.250,0.250,0,1075708,1622000,162448,4963216,19338.118,8817.054,0,944.006,0,29.000,4824,2643,1.870,1.200,0.730,1,0,185.001,0,0,10,4,0,11,2
25-06 20:47:32,30.004,22.003,46.506,0.250,0,1060572,1619704,162580,4980256,184463.186,9379.230,0,1480.194,0,37.005,5353,4416,1.870,1.200,0.730,10,0,196.026,0,0,10,4,0,11,2
25-06 20:47:33,36.092,17.294,44.614,0.752,0,1057140,1608396,163268,4992120,18862.330,1624.161,0,1664.264,0,69.177,4395,2751,1.870,1.200,0.730,3,0,119.306,0,0,10,4,0,11,2
25-06 20:47:34,41.986,16.494,40.237,0.500,0,1055940,1589260,163924,5009884,6543.815,1619.459,0,1311.562,0,31.989,5113,5211,1.870,1.200,0.730,4,0,122.959,0,0,10,4,0,11,2
25-06 20:47:35,35.676,11.476,51.643,0.499,0,1177556,1445384,164408,5154100,10119.985,1454.979,0,1532.817,0,55.884,4796,4889,1.800,1.190,0.730,1,0,67.859,0,0,11,4,0,11,2
25-06 20:47:36,30.998,11.249,54.997,1.500,0,1181968,1423448,165520,5167852,10311.462,1619.915,15.999,3667.809,1.000,217.989,3912,2770,1.800,1.190,0.730,3,0,75.996,0,0,11,6,0,11,2
25-06 20:47:37,42.254,8.001,48.004,0.750,0,1184708,1391632,166400,5193396,13807.241,1662.149,0,1896.170,0,68.006,3512,1966,1.800,1.190,0.730,2,0,35.003,0,0,11,6,0,11,2
25-06 20:47:38,34.255,17.503,47.007,0.750,0.250,1187232,1400844,166876,5180540,9177.415,2100.324,0,2016.311,0,72.011,4945,3345,1.800,1.190,0.730,2,0,166.026,0,0,11,4,0,13,0
25-06 20:47:39,37.320,7.013,52.348,2.004,0,1247996,1339608,166888,5180968,17478.637,3796.088,348.651,961.796,16.030,11.021,3142,1937,1.800,1.190,0.730,3,0,39.073,0,0,11,5,0,13,0
25-06 20:47:40,42.655,6.486,48.143,1.996,0,1238908,1338516,167188,5189504,11411.578,2464.510,1548.550,18019.857,106.762,94.789,3246,1910,1.810,1.210,0.740,2,0,2.993,0,0,11,4,0,13,0
25-06 20:47:41,44.757,7.501,45.007,0.750,0,1245176,1329976,167244,5191240,6210.028,1620.268,128.021,1936.321,6.001,50.008,13610,23115,1.810,1.210,0.740,2,0,14.002,0,0,11,6,0,13,0
25-06 20:47:42,33.009,10.253,43.012,10.253,0,1252980,1316632,167852,5195896,6632.837,1620.449,0,19093.289,0,1460.405,13914,24486,1.810,1.210,0.740,2,2,29.008,0,0,11,6,0,13,0
25-06 20:47:43,32.497,12.749,39.997,11.249,0,1255884,1309688,168532,5199104,9601.189,1619.863,0,27941.639,0,2199.814,16010,28309,1.810,1.210,0.740,5,0,45.996,0,0,11,6,0,13,0
25-06 20:47:44,37.000,8.500,39.750,11.500,0,1214084,1357692,168856,5193564,8140.965,1619.993,0,25975.887,0,1875.992,10407,17561,1.810,1.210,0.740,2,0,37.000,0,0,11,6,0,13,0
25-06 20:47:45,38.745,15.498,42.744,2.000,0,1142872,1428760,168964,5193600,21775.952,1619.773,0,20177.176,0,609.915,5235,5139,1.830,1.220,0.750,3,0,138.981,0,0,11,4,0,13,0
25-06 20:47:46,22.495,5.499,71.485,0,0,1183552,1388052,168968,5193600,8326.271,1457.697,0,2595.461,0,184.962,2107,1472,1.830,1.220,0.750,1,0,7.998,0,0,11,4,0,13,0
25-06 20:47:47,23.497,2.500,72.491,0.500,0,1204140,1367444,169016,5193572,11455.502,1619.788,0,6235.185,0,331.957,2341,2621,1.830,1.220,0.750,1,0,0,0,0,11,4,0,13,0
25-06 20:47:48,22.002,4.500,73.006,0.250,0,1183948,1387588,169020,5193616,8196.712,1620.141,0,160.014,0,16.001,2012,1559,1.830,1.220,0.750,1,0,10.001,0,0,11,4,0,11,0
25-06 20:47:49,23.748,2.000,73.744,0,0,1197108,1374424,169020,5193620,6237.461,1619.860,0,51.996,0,4.000,1708,1145,1.830,1.220,0.750,1,0,0,0,0,11,4,0,11,0
25-06 20:47:50,10.478,17.463,69.853,0,0,1153176,1418332,169020,5193644,10552.793,1616.598,0,10134.673,0,32.931,4451,2874,1.680,1.200,0.740,1,0,192.595,0,0,11,4,0,11,0
